viewer_id,subscription_start,subscription_status,months_subscribed,churned_after_show,age_group
V10642,2022-10-02,Active,24,,25-34
V10643,2023-10-02,Active,12,,35-44
V10644,2021-10-02,Active,36,,45-54
V10645,2024-09-01,Active,1,,45-54
V10646,2024-09-01,Cancelled,1,,25-34
V10647,2022-10-02,Active,24,,18-24
V10648,2024-04-04,Active,6,,55+
V10649,2024-04-04,Active,6,,35-44
V10650,2024-04-04,Active,6,,35-44
V10651,2022-10-02,Active,24,,35-44
V10652,2024-09-01,Active,1,,25-34
V10653,2024-07-03,Active,3,,35-44
V10654,2024-04-04,Cancelled,6,,55+
V10655,2023-10-02,Active,12,,25-34
V10656,2024-09-01,Active,1,,55+
V10657,2022-10-02,Active,24,,25-34
V10658,2022-10-02,Active,24,,25-34
V10659,2022-10-02,Active,24,,18-24
V10660,2024-04-04,Cancelled,6,SH2031,35-44
V10661,2022-10-02,Cancelled,24,,55+
V10662,2024-07-03,Active,3,,25-34
V10663,2023-10-02,Active,12,,35-44
V10664,2024-04-04,Active,6,,25-34
V10665,2024-09-01,Cancelled,1,SH2028,25-34
V10666,2024-04-04,Active,6,,18-24
V10667,2024-04-04,Cancelled,6,SH2004,35-44
V10668,2024-04-04,Cancelled,6,,35-44
V10669,2024-09-01,Active,1,,55+
V10670,2024-07-03,Paused,3,,35-44
V10671,2024-09-01,Active,1,,25-34
V10672,2022-10-02,Active,24,,25-34
V10673,2024-07-03,Active,3,,25-34
V10674,2024-09-01,Cancelled,1,,25-34
V10675,2024-04-04,Active,6,,55+
V10676,2024-04-04,Active,6,,35-44
V10677,2024-07-03,Active,3,,55+
V10678,2023-10-02,Paused,12,,25-34
V10679,2024-04-04,Active,6,,25-34
V10680,2022-10-02,Active,24,,45-54
V10681,2023-10-02,Active,12,,35-44
V10682,2023-10-02,Active,12,,45-54
V10683,2024-04-04,Active,6,,35-44
V10684,2021-10-02,Active,36,,45-54
V10685,2024-07-03,Cancelled,3,,35-44
V10686,2024-07-03,Cancelled,3,,25-34
V10687,2024-09-01,Cancelled,1,,35-44
V10688,2024-09-01,Active,1,,35-44
V10689,2024-04-04,Active,6,,18-24
V10690,2023-10-02,Active,12,,18-24
V10691,2023-10-02,Active,12,,18-24
V10692,2021-10-02,Cancelled,36,SH2051,35-44
V10693,2022-10-02,Active,24,,25-34
V10694,2024-07-03,Active,3,,45-54
V10695,2024-04-04,Active,6,,25-34
V10696,2024-04-04,Cancelled,6,,55+
V10697,2022-10-02,Cancelled,24,,35-44
V10698,2024-07-03,Active,3,,45-54
V10699,2024-04-04,Cancelled,6,SH2037,45-54
V10700,2024-07-03,Active,3,,55+
V10701,2024-07-03,Active,3,,45-54
V10702,2022-10-02,Active,24,,45-54
V10703,2024-04-04,Active,6,,35-44
V10704,2022-10-02,Active,24,,35-44
V10705,2024-04-04,Cancelled,6,SH2025,55+
V10706,2022-10-02,Active,24,,18-24
V10707,2023-10-02,Cancelled,12,SH2039,35-44
V10708,2022-10-02,Cancelled,24,,45-54
V10709,2023-10-02,Active,12,,25-34
V10710,2023-10-02,Active,12,,35-44
V10711,2024-09-01,Active,1,,35-44
V10712,2023-10-02,Active,12,,35-44
V10713,2024-09-01,Active,1,,45-54
V10714,2023-10-02,Active,12,,45-54
V10715,2024-07-03,Active,3,,18-24
V10716,2023-10-02,Active,12,,25-34
V10717,2022-10-02,Active,24,,25-34
V10718,2024-07-03,Active,3,,18-24
V10719,2024-04-04,Cancelled,6,SH2012,35-44
V10720,2023-10-02,Active,12,,35-44
V10721,2024-09-01,Cancelled,1,,35-44
V10722,2024-04-04,Active,6,,18-24
V10723,2023-10-02,Active,12,,35-44
V10724,2022-10-02,Cancelled,24,,35-44
V10725,2024-09-01,Cancelled,1,,25-34
V10726,2024-07-03,Active,3,,35-44
V10727,2024-09-01,Active,1,,25-34
V10728,2024-09-01,Active,1,,18-24
V10729,2024-07-03,Active,3,,18-24
V10730,2022-10-02,Active,24,,25-34
V10731,2023-10-02,Active,12,,18-24
V10732,2024-04-04,Active,6,,45-54
V10733,2024-07-03,Cancelled,3,,45-54
V10734,2022-10-02,Active,24,,55+
V10735,2024-09-01,Active,1,,25-34
V10736,2024-04-04,Active,6,,35-44
V10737,2024-09-01,Active,1,,35-44
V10738,2023-10-02,Paused,12,,45-54
V10739,2021-10-02,Active,36,,25-34
V10740,2024-09-01,Cancelled,1,SH2036,35-44
V10741,2024-04-04,Active,6,,45-54
V10742,2024-04-04,Active,6,,35-44
V10743,2023-10-02,Active,12,,45-54
V10744,2024-07-03,Active,3,,25-34
V10745,2023-10-02,Active,12,,45-54
V10746,2023-10-02,Active,12,,45-54
V10747,2023-10-02,Active,12,,25-34
V10748,2022-10-02,Active,24,,35-44
V10749,2021-10-02,Active,36,,35-44
V10100,2024-04-04,Active,6,,18-24
V10751,2024-09-01,Active,1,,45-54
V10752,2023-10-02,Active,12,,18-24
V10753,2023-10-02,Active,12,,55+
V10754,2022-10-02,Active,24,,55+
V10755,2024-09-01,Active,1,,25-34
V10756,2022-10-02,Active,24,,35-44
V10757,2022-10-02,Active,24,,25-34
V10758,2023-10-02,Active,12,,25-34
V10759,2024-07-03,Active,3,,45-54
V10760,2024-04-04,Active,6,,25-34
V10761,2024-04-04,Active,6,,25-34
V10762,2024-07-03,Active,3,,35-44
V10763,2024-07-03,Active,3,,35-44
V10764,2024-04-04,Active,6,,35-44
V10765,2022-10-02,Active,24,,35-44
V10766,2022-10-02,Active,24,,25-34
V10767,2024-07-03,Active,3,,45-54
V10768,2023-10-02,Cancelled,12,,35-44
V10769,2024-09-01,Active,1,,35-44
V10770,2021-10-02,Active,36,,35-44
V10771,2023-10-02,Active,12,,35-44
V10772,2023-10-02,Active,12,,35-44
V10773,2023-10-02,Cancelled,12,,45-54
V10774,2024-07-03,Paused,3,,35-44
V10775,2022-10-02,Active,24,,35-44
V10776,2022-10-02,Cancelled,24,,25-34
V10777,2024-04-04,Active,6,,35-44
V10778,2023-10-02,Cancelled,12,SH2055,25-34
V10779,2024-09-01,Paused,1,,35-44
V10780,2024-07-03,Active,3,,35-44
V10781,2024-09-01,Active,1,,45-54
V10782,2024-04-04,Active,6,,25-34
V10783,2024-09-01,Active,1,,25-34
V10784,2024-07-03,Active,3,,45-54
V10785,2021-10-02,Cancelled,36,SH2005,45-54
V10786,2024-09-01,Active,1,,25-34
V10787,2024-04-04,Paused,6,,35-44
V10788,2024-07-03,Active,3,,55+
V10789,2024-07-03,Active,3,,18-24
V10790,2024-09-01,Cancelled,1,,35-44
V10791,2023-10-02,Active,12,,55+
V10792,2021-10-02,Active,36,,45-54
V10793,2023-10-02,Active,12,,25-34
V10794,2024-04-04,Cancelled,6,,55+
V10795,2022-10-02,Active,24,,45-54
V10796,2023-10-02,Active,12,,35-44
V10797,2022-10-02,Active,24,,45-54
V10798,2024-07-03,Active,3,,45-54
V10799,2024-07-03,Active,3,,25-34
V10800,2022-10-02,Active,24,,55+
V10801,2024-07-03,Paused,3,,55+
V10802,2024-04-04,Active,6,,25-34
V10803,2023-10-02,Active,12,,18-24
V10804,2024-09-01,Active,1,,25-34
V10805,2023-10-02,Paused,12,,25-34
V10806,2024-04-04,Active,6,,45-54
V10807,2022-10-02,Cancelled,24,SH2058,55+
V10808,2024-07-03,Active,3,,18-24
V10809,2024-07-03,Cancelled,3,,25-34
V10810,2024-04-04,Active,6,,35-44
V10811,2024-04-04,Cancelled,6,,25-34
V10812,2022-10-02,Cancelled,24,,45-54
V10813,2023-10-02,Active,12,,25-34
V10814,2024-07-03,Active,3,,25-34
V10815,2024-07-03,Cancelled,3,SH2003,25-34
V10816,2024-07-03,Cancelled,3,SH2026,25-34
V10817,2022-10-02,Active,24,,35-44
V10818,2023-10-02,Active,12,,25-34
V10819,2022-10-02,Active,24,,25-34
V10820,2024-04-04,Active,6,,18-24
V10821,2023-10-02,Active,12,,25-34
V10822,2024-04-04,Active,6,,55+
V10823,2024-07-03,Active,3,,25-34
V10824,2024-07-03,Active,3,,35-44
V10825,2021-10-02,Active,36,,35-44
V10826,2023-10-02,Cancelled,12,,25-34
V10827,2024-07-03,Active,3,,45-54
V10828,2024-07-03,Active,3,,55+
V10829,2022-10-02,Paused,24,,45-54
V10830,2024-04-04,Active,6,,35-44
V10831,2024-09-01,Active,1,,35-44
V10832,2024-07-03,Cancelled,3,,35-44
V10833,2024-09-01,Active,1,,35-44
V10834,2024-07-03,Active,3,,45-54
V10835,2024-09-01,Active,1,,35-44
V10836,2024-04-04,Cancelled,6,,45-54
V10837,2023-10-02,Active,12,,55+
V10838,2023-10-02,Active,12,,45-54
V10839,2024-07-03,Cancelled,3,,25-34
V10840,2024-07-03,Paused,3,,45-54
V10841,2023-10-02,Active,12,,35-44
V10842,2022-10-02,Active,24,,25-34
V10843,2024-07-03,Cancelled,3,,35-44
V10844,2024-09-01,Cancelled,1,,18-24
V10845,2021-10-02,Active,36,,25-34
V10846,2023-10-02,Cancelled,12,,35-44
V10847,2024-09-01,Active,1,,35-44
V10848,2022-10-02,Active,24,,45-54
V10849,2024-04-04,Active,6,,18-24
V10850,2022-10-02,Active,24,,25-34
V10851,2024-07-03,Cancelled,3,,35-44
V10852,2024-07-03,Active,3,,35-44
V10853,2022-10-02,Cancelled,24,,18-24
V10854,2024-09-01,Active,1,,25-34
V10855,2024-07-03,Active,3,,35-44
V10856,2024-07-03,Active,3,,25-34
V10857,2024-09-01,Cancelled,1,,25-34
V10858,2023-10-02,Active,12,,18-24
V10859,2024-04-04,Cancelled,6,,35-44
V10860,2023-10-02,Active,12,,25-34
V10861,2023-10-02,Active,12,,25-34
V10862,2024-07-03,Active,3,,55+
V10863,2024-09-01,Active,1,,25-34
V10864,2021-10-02,Active,36,,25-34
V10865,2023-10-02,Active,12,,25-34
V10866,2024-07-03,Active,3,,25-34
V10867,2024-07-03,Active,3,,25-34
V10868,2024-07-03,Active,3,,55+
V10869,2023-10-02,Active,12,,18-24
V10870,2021-10-02,Active,36,,18-24
V10871,2024-04-04,Active,6,,35-44
V10872,2024-07-03,Active,3,,55+
V10873,2024-07-03,Active,3,,35-44
V10874,2023-10-02,Active,12,,25-34
V10875,2024-04-04,Cancelled,6,SH2009,55+
V10876,2023-10-02,Active,12,,55+
V10877,2024-09-01,Cancelled,1,,35-44
V10878,2024-09-01,Active,1,,25-34
V10879,2022-10-02,Active,24,,55+
V10880,2024-07-03,Active,3,,35-44
V10881,2023-10-02,Active,12,,35-44
V10882,2024-04-04,Active,6,,25-34
V10883,2022-10-02,Active,24,,45-54
V10884,2022-10-02,Cancelled,24,,35-44
V10885,2021-10-02,Active,36,,35-44
V10886,2023-10-02,Active,12,,25-34
V10887,2023-10-02,Cancelled,12,,18-24
V10888,2024-09-01,Active,1,,18-24
V10889,2024-09-01,Cancelled,1,,25-34
V10890,2024-07-03,Active,3,,35-44
V10891,2024-04-04,Active,6,,45-54
V10892,2024-04-04,Active,6,,25-34
V10893,2023-10-02,Active,12,,35-44
V10894,2024-07-03,Paused,3,,25-34
V10895,2023-10-02,Active,12,,25-34
V10896,2023-10-02,Active,12,,45-54
V10897,2022-10-02,Cancelled,24,,18-24
V10898,2024-04-04,Cancelled,6,,35-44
V10899,2024-04-04,Active,6,,18-24
V10900,2023-10-02,Active,12,SH2025,35-44
V10901,2023-10-02,Active,12,,25-34
V10902,2024-04-04,Active,6,,25-34
V10903,2024-09-01,Active,1,,25-34
V10904,2023-10-02,Active,12,,25-34
V10905,2022-10-02,Active,24,,35-44
V10906,2023-10-02,Cancelled,12,,35-44
V10907,2022-10-02,Active,24,,45-54
V10908,2024-09-01,Cancelled,1,,25-34
V10909,2024-07-03,Active,3,,18-24
V10910,2022-10-02,Cancelled,24,,25-34
V10911,2023-10-02,Active,12,,25-34
V10912,2024-07-03,Active,3,,25-34
V10913,2022-10-02,Active,24,,45-54
V10914,2024-07-03,Active,3,,45-54
V10915,2022-10-02,Active,24,,25-34
V10916,2024-04-04,Active,6,,25-34
V10917,2024-04-04,Active,6,,35-44
V10918,2024-04-04,Active,6,,25-34
V10919,2023-10-02,Cancelled,12,,35-44
V10920,2024-07-03,Active,3,,25-34
V10921,2024-04-04,Active,6,,45-54
V10922,2024-09-01,Active,1,,35-44
V10923,2024-09-01,Active,1,,25-34
V10924,2024-07-03,Active,3,,25-34
V10925,2024-07-03,Active,3,,35-44
V10926,2021-10-02,Active,36,,45-54
V10927,2022-10-02,Active,24,,25-34
V10928,2023-10-02,Active,12,,25-34
V10929,2024-04-04,Active,6,,18-24
V10930,2022-10-02,Active,24,,25-34
V10931,2022-10-02,Active,24,,55+
V10932,2024-04-04,Active,6,,45-54
V10933,2023-10-02,Cancelled,12,,55+
V10934,2023-10-02,Cancelled,12,,35-44
V10935,2022-10-02,Active,24,,35-44
V10936,2022-10-02,Active,24,,35-44
V10937,2023-10-02,Active,12,,45-54
V10938,2024-07-03,Active,3,,25-34
V10939,2024-04-04,Active,6,,45-54
V10940,2024-04-04,Active,6,,18-24
V10941,2024-04-04,Active,6,,18-24
V10942,2024-07-03,Active,3,,18-24
V10943,2024-04-04,Active,6,,35-44
V10944,2022-10-02,Active,24,,55+
V10945,2024-04-04,Active,6,,55+
V10946,2024-07-03,Cancelled,3,,18-24
V10947,2024-09-01,Active,1,,35-44
V10948,2023-10-02,Active,12,,25-34
V10949,2024-09-01,Active,1,,55+
V10950,2024-04-04,Cancelled,6,,45-54
V10951,2023-10-02,Active,12,,18-24
V10952,2024-09-01,Active,1,,25-34
V10953,2024-04-04,Active,6,,25-34
V10954,2023-10-02,Cancelled,12,SH2043,18-24
V10955,2023-10-02,Active,12,,25-34
V10956,2022-10-02,Active,24,,55+
V10957,2023-10-02,Active,12,,35-44
V10958,2022-10-02,Active,24,,35-44
V10959,2024-07-03,Active,3,,35-44
V10960,2024-07-03,Active,3,,25-34
V10961,2024-07-03,Active,3,,25-34
V10962,2022-10-02,Active,24,,25-34
V10963,2024-09-01,Active,1,,25-34
V10964,2022-10-02,Active,24,,45-54
V10965,2024-07-03,Active,3,,25-34
V10966,2022-10-02,Active,24,,25-34
V10967,2024-07-03,Active,3,,35-44
V10968,2024-07-03,Active,3,,25-34
V10969,2023-10-02,Cancelled,12,,45-54
V10970,2024-07-03,Active,3,,35-44
V10971,2024-04-04,Active,6,,18-24
V10972,2024-07-03,Active,3,,45-54
V10973,2024-07-03,Active,3,,18-24
V10974,2023-10-02,Active,12,,45-54
V10975,2022-10-02,Active,24,,55+
V10976,2021-10-02,Cancelled,36,SH2053,45-54
V10977,2023-10-02,Paused,12,,45-54
V10978,2022-10-02,Cancelled,24,,45-54
V10979,2024-09-01,Active,1,,35-44
V10980,2024-07-03,Active,3,,55+
V10981,2022-10-02,Cancelled,24,SH2059,25-34
V10982,2023-10-02,Active,12,,18-24
V10983,2023-10-02,Active,12,,45-54
V10984,2024-09-01,Cancelled,1,,35-44
V10985,2023-10-02,Cancelled,12,,35-44
V10986,2021-10-02,Cancelled,36,,25-34
V10987,2024-04-04,Active,6,,35-44
V10988,2022-10-02,Cancelled,24,,25-34
V10989,2024-07-03,Paused,3,,55+
V10990,2023-10-02,Cancelled,12,,35-44
V10991,2024-09-01,Active,1,,35-44
V10992,2023-10-02,Active,12,,55+
V10993,2024-07-03,Active,3,,35-44
V10994,2023-10-02,Active,12,,25-34
V10995,2024-07-03,Active,3,,35-44
V10996,2024-07-03,Active,3,,25-34
V10997,2023-10-02,Cancelled,12,SH2047,25-34
V10998,2024-09-01,Active,1,,25-34
V10999,2024-04-04,Active,6,,55+
V11000,2023-10-02,Paused,12,,45-54
V11001,2024-04-04,Cancelled,6,SH2010,35-44
V11002,2024-04-04,Active,6,,18-24
V11003,2024-09-01,Active,1,,18-24
V11004,2023-10-02,Cancelled,12,,45-54
V11005,2024-07-03,Cancelled,3,SH2052,45-54
V11006,2022-10-02,Cancelled,24,SH2036,18-24
V11007,2022-10-02,Active,24,,55+
V11008,2024-04-04,Cancelled,6,,18-24
V11009,2024-09-01,Paused,1,,45-54
V11010,2022-10-02,Cancelled,24,,18-24
V11011,2024-09-01,Active,1,,25-34
V11012,2024-04-04,Active,6,,18-24
V11013,2024-07-03,Active,3,,55+
V11014,2023-10-02,Paused,12,,25-34
V11015,2024-07-03,Cancelled,3,SH2029,25-34
V11016,2024-09-01,Cancelled,1,,25-34
V11017,2024-07-03,Paused,3,,25-34
V11018,2022-10-02,Cancelled,24,,18-24
V11019,2024-07-03,Active,3,,45-54
V11020,2023-10-02,Active,12,,25-34
V11021,2024-04-04,Cancelled,6,,25-34
V11022,2024-09-01,Active,1,,45-54
V11023,2024-04-04,Paused,6,,25-34
V11024,2023-10-02,Active,12,,25-34
V11025,2024-07-03,Active,3,,35-44
V11026,2021-10-02,Active,36,,25-34
V11027,2024-09-01,Active,1,,35-44
V11028,2023-10-02,Cancelled,12,,18-24
V11029,2024-04-04,Active,6,,35-44
V11030,2023-10-02,Active,12,,18-24
V11031,2023-10-02,Active,12,,35-44
V11032,2024-04-04,Active,6,,55+
V11033,2022-10-02,Cancelled,24,,35-44
V11034,2024-04-04,Cancelled,6,,25-34
V11035,2022-10-02,Active,24,,25-34
V11036,2024-09-01,Cancelled,1,,25-34
V11037,2024-04-04,Active,6,,55+
V11038,2023-10-02,Active,12,,35-44
V11039,2024-04-04,Cancelled,6,,25-34
V11040,2022-10-02,Active,24,,35-44
V11041,2024-04-04,Active,6,,55+
V11042,2024-09-01,Active,1,,35-44
V11043,2024-04-04,Active,6,,45-54
V11044,2023-10-02,Active,12,,18-24
V11045,2024-04-04,Active,6,,25-34
V11046,2024-04-04,Active,6,,25-34
V11047,2024-07-03,Cancelled,3,,55+
V11048,2022-10-02,Cancelled,24,SH2027,35-44
V11049,2023-10-02,Active,12,,25-34
V11050,2024-04-04,Active,6,,55+
V11051,2023-10-02,Active,12,,45-54
V11052,2024-07-03,Active,3,,25-34
V11053,2024-07-03,Active,3,,35-44
V11054,2022-10-02,Active,24,,35-44
V11055,2024-09-01,Active,1,,35-44
V11056,2024-04-04,Cancelled,6,SH2033,25-34
V11057,2024-07-03,Active,3,,25-34
V11058,2023-10-02,Cancelled,12,,25-34
V11059,2023-10-02,Active,12,,25-34
V11060,2024-09-01,Active,1,,35-44
V11061,2024-07-03,Active,3,,45-54
V11062,2022-10-02,Cancelled,24,,25-34
V11063,2023-10-02,Active,12,,18-24
V11064,2024-07-03,Active,3,,25-34
V11065,2024-07-03,Active,3,,18-24
V11066,2023-10-02,Active,12,,35-44
V11067,2024-07-03,Active,3,,35-44
V11068,2024-04-04,Active,6,,25-34
V11069,2022-10-02,Active,24,,25-34
V11070,2023-10-02,Active,12,,25-34
V11071,2024-04-04,Cancelled,6,SH2055,25-34
V11072,2024-04-04,Active,6,,25-34
V11073,2022-10-02,Cancelled,24,,25-34
V11074,2022-10-02,Active,24,,18-24
V11075,2024-07-03,Active,3,,25-34
V11076,2021-10-02,Active,36,,35-44
V11077,2024-07-03,Active,3,,35-44
V11078,2023-10-02,Cancelled,12,,35-44
V11079,2022-10-02,Cancelled,24,SH2011,18-24
V11080,2022-10-02,Active,24,,35-44
V11081,2022-10-02,Active,24,,45-54
V11082,2024-07-03,Active,3,,18-24
V11083,2024-04-04,Active,6,,55+
V11084,2023-10-02,Cancelled,12,SH2032,45-54
V11085,2024-09-01,Active,1,,55+
V11086,2024-09-01,Active,1,,35-44
V11087,2024-04-04,Active,6,,25-34
V11088,2024-09-01,Active,1,,18-24
V11089,2024-04-04,Active,6,,45-54
V11090,2024-04-04,Active,6,,25-34
V11091,2024-04-04,Cancelled,6,SH2004,18-24
V11092,2024-09-01,Active,1,,25-34
V11093,2024-09-01,Active,1,,25-34
V11094,2022-10-02,Cancelled,24,,35-44
V11095,2022-10-02,Active,24,,45-54
V11096,2023-10-02,Active,12,,35-44
V11097,2024-07-03,Active,3,,45-54
V11098,2024-09-01,Cancelled,1,SH2030,25-34
V11099,2024-09-01,Active,1,,25-34
V11100,2024-07-03,Active,3,,25-34
V11101,2024-04-04,Active,6,,45-54
V11102,2022-10-02,Active,24,,25-34
V11103,2024-04-04,Cancelled,6,SH2016,25-34
V11104,2022-10-02,Active,24,,55+
V11105,2024-04-04,Active,6,,18-24
V11106,2024-04-04,Cancelled,6,SH2055,45-54
V11107,2022-10-02,Active,24,,55+
V11108,2023-10-02,Active,12,,18-24
V11109,2024-04-04,Active,6,,25-34
V11110,2023-10-02,Paused,12,,35-44
V11111,2023-10-02,Active,12,,25-34
V11112,2024-09-01,Active,1,,55+
V11113,2023-10-02,Active,12,,25-34
V11114,2024-04-04,Active,6,,45-54
V11115,2022-10-02,Active,24,,25-34
V11116,2024-07-03,Active,3,,25-34
V11117,2024-04-04,Active,6,,35-44
V11118,2024-09-01,Active,1,,25-34
V11119,2024-07-03,Cancelled,3,,18-24
V11120,2024-07-03,Cancelled,3,SH2023,35-44
V11121,2021-10-02,Active,36,,25-34
V11122,2022-10-02,Active,24,,25-34
V11123,2024-04-04,Active,6,,25-34
V11124,2024-09-01,Active,1,,18-24
V11125,2023-10-02,Active,12,,25-34
V11126,2022-10-02,Active,24,,18-24
V11127,2022-10-02,Active,24,,18-24
V11128,2023-10-02,Active,12,,25-34
V11129,2024-07-03,Active,3,,25-34
V11130,2022-10-02,Active,24,,45-54
V11131,2024-04-04,Cancelled,6,,35-44
V11132,2024-07-03,Active,3,,25-34
V11133,2022-10-02,Cancelled,24,SH2021,25-34
V11134,2023-10-02,Active,12,,55+
V11135,2024-09-01,Active,1,,35-44
V11136,2023-10-02,Active,12,,55+
V11137,2024-07-03,Active,3,,25-34
V11138,2024-07-03,Active,3,,25-34
V11139,2024-07-03,Active,3,,25-34
V11140,2023-10-02,Cancelled,12,,18-24
V11141,2024-09-01,Active,1,,35-44
V11142,2023-10-02,Active,12,,25-34
V11143,2024-09-01,Cancelled,1,SH2001,55+
V11144,2022-10-02,Active,24,,18-24
V11145,2024-09-01,Active,1,,25-34
V11146,2024-09-01,Active,1,,18-24
V11147,2023-10-02,Active,12,,18-24
V11148,2024-04-04,Active,6,,55+
V11149,2024-04-04,Active,6,,35-44
V11150,2024-07-03,Cancelled,3,,25-34
V11151,2024-09-01,Active,1,,45-54
V11152,2022-10-02,Active,24,,25-34
V11153,2022-10-02,Cancelled,24,,18-24
V11154,2024-07-03,Cancelled,3,SH2009,18-24
V11155,2023-10-02,Cancelled,12,,45-54
V11156,2024-04-04,Active,6,,35-44
V11157,2024-07-03,Active,3,,25-34
V11158,2022-10-02,Active,24,,35-44
V11159,2024-07-03,Active,3,,18-24
V11160,2024-07-03,Cancelled,3,,35-44
V11161,2022-10-02,Active,24,,55+
V11162,2024-07-03,Active,3,,25-34
V11163,2024-09-01,Active,1,,35-44
V11164,2022-10-02,Cancelled,24,,18-24
V11165,2024-09-01,Active,1,,35-44
V11166,2024-04-04,Active,6,,18-24
V11167,2021-10-02,Active,36,,25-34
V11168,2024-04-04,Active,6,,25-34
V11169,2024-04-04,Cancelled,6,,35-44
V11170,2021-10-02,Cancelled,36,,25-34
V11171,2023-10-02,Active,12,,35-44
V11172,2023-10-02,Active,12,,25-34
V11173,2024-07-03,Active,3,,18-24
V11174,2023-10-02,Active,12,,25-34
V11175,2024-04-04,Active,6,,25-34
V11176,2023-10-02,Cancelled,12,,45-54
V11177,2024-04-04,Active,6,,25-34
V11178,2024-09-01,Paused,1,,18-24
V11179,2024-07-03,Cancelled,3,,55+
V11180,2024-09-01,Active,1,,25-34
V11181,2024-09-01,Active,1,,25-34
V11182,2022-10-02,Active,24,,35-44
V11183,2023-10-02,Active,12,,35-44
V11184,2024-07-03,Active,3,,35-44
V11185,2024-09-01,Paused,1,,25-34
V11186,2024-04-04,Active,6,,18-24
V11187,2024-09-01,Active,1,,45-54
V11188,2022-10-02,Active,24,,45-54
V11189,2023-10-02,Active,12,,25-34
V11190,2023-10-02,Cancelled,12,,25-34
V11191,2024-04-04,Active,6,,18-24
V11192,2024-04-04,Active,6,,45-54
V11193,2024-09-01,Cancelled,1,SH2005,45-54
V11194,2023-10-02,Active,12,,35-44
V11195,2023-10-02,Cancelled,12,,45-54
V11196,2023-10-02,Cancelled,12,SH2058,25-34
V11197,2024-09-01,Cancelled,1,SH2038,25-34
V11198,2024-09-01,Active,1,,25-34
V11199,2023-10-02,Active,12,,25-34
V11200,2024-09-01,Active,1,,45-54
V11201,2022-10-02,Active,24,,18-24
V11202,2024-04-04,Active,6,,45-54
V11203,2024-09-01,Active,1,,35-44
V11204,2024-04-04,Active,6,,18-24
V11205,2024-04-04,Cancelled,6,,55+
V11206,2024-04-04,Active,6,,35-44
V11207,2024-04-04,Active,6,,25-34
V11208,2024-07-03,Active,3,,25-34
V11209,2024-09-01,Active,1,,55+
V11210,2024-04-04,Active,6,,45-54
V11211,2021-10-02,Active,36,,45-54
V11212,2024-07-03,Active,3,,25-34
V11213,2023-10-02,Active,12,,25-34
V11214,2024-09-01,Active,1,,18-24
V11215,2024-04-04,Active,6,,35-44
V11216,2023-10-02,Cancelled,12,,25-34
V11217,2023-10-02,Active,12,,18-24
V11218,2024-07-03,Active,3,,35-44
V11219,2022-10-02,Active,24,,18-24
V11220,2021-10-02,Active,36,,25-34
V11221,2024-04-04,Active,6,,18-24
V11222,2024-09-01,Active,1,,35-44
V11223,2024-04-04,Active,6,,35-44
V11224,2022-10-02,Active,24,,25-34
V11225,2023-10-02,Active,12,,25-34
V11226,2023-10-02,Cancelled,12,,45-54
V11227,2023-10-02,Active,12,,35-44
V11228,2024-04-04,Active,6,,35-44
V11229,2024-04-04,Active,6,,55+
V11230,2024-09-01,Active,1,,18-24
V11231,2023-10-02,Active,12,,25-34
V11232,2023-10-02,Active,12,,45-54
V11233,2024-04-04,Active,6,,55+
V11234,2024-07-03,Active,3,,35-44
V11235,2021-10-02,Active,36,,18-24
V11236,2024-07-03,Active,3,,25-34
V11237,2023-10-02,Paused,12,,25-34
V11238,2024-04-04,Active,6,,18-24
V11239,2022-10-02,Active,24,,25-34
V11240,2023-10-02,Active,12,,35-44
V11241,2024-09-01,Cancelled,1,,55+
V11242,2021-10-02,Active,36,,25-34
V11243,2023-10-02,Active,12,,25-34
V11244,2024-07-03,Active,3,,25-34
V11245,2024-07-03,Active,3,,25-34
V11246,2024-09-01,Active,1,,35-44
V11247,2022-10-02,Active,24,,25-34
V11248,2022-10-02,Active,24,,18-24
V11249,2024-04-04,Cancelled,6,SH2015,25-34
V11250,2024-04-04,Cancelled,6,,25-34
V11251,2024-04-04,Active,6,,25-34
V11252,2024-04-04,Active,6,,25-34
V11253,2023-10-02,Cancelled,12,,25-34
V11254,2024-07-03,Active,3,,25-34
V11255,2021-10-02,Active,36,,25-34
V11256,2023-10-02,Cancelled,12,,25-34
V11257,2021-10-02,Active,36,,45-54
V11258,2024-09-01,Cancelled,1,,35-44
V11259,2022-10-02,Active,24,,25-34
V11260,2024-04-04,Active,6,,35-44
V11261,2024-09-01,Active,1,,18-24
V11262,2024-07-03,Active,3,,45-54
V11263,2022-10-02,Cancelled,24,,25-34
V11264,2024-07-03,Active,3,,35-44
V11265,2024-09-01,Active,1,,55+
V11266,2024-04-04,Active,6,,18-24
V11267,2024-07-03,Cancelled,3,,25-34
V11268,2024-09-01,Active,1,,18-24
V11269,2022-10-02,Cancelled,24,SH2058,45-54
V11270,2024-07-03,Active,3,,18-24
V11271,2024-04-04,Active,6,,25-34
V11272,2024-07-03,Active,3,,18-24
V11273,2024-04-04,Active,6,,25-34
V11274,2024-04-04,Cancelled,6,,18-24
V11275,2024-09-01,Active,1,,35-44
V11276,2024-04-04,Cancelled,6,,35-44
V11277,2024-09-01,Active,1,,18-24
V11278,2024-07-03,Active,3,,35-44
V11279,2024-09-01,Cancelled,1,SH2024,45-54
